iter	Passed	Remaining
0	11	1173396
1	23	1162624
2	31	1059379
3	43	1091903
4	56	1130091
5	69	1163512
6	82	1176123
7	90	1137022
8	105	1167397
9	117	1170370
10	125	1143365
11	140	1168931
12	152	1170541
13	162	1159703
14	173	1156033
15	186	1164903
16	196	1156262
17	211	1177175
18	221	1164005
19	233	1169542
20	244	1164450
21	258	1175582
22	270	1176419
23	288	1203589
24	303	1214190
25	316	1217710
26	328	1215552
27	338	1208554
28	351	1211137
29	366	1219931
30	378	1221172
31	387	1209884
32	400	1214274
33	413	1216352
34	428	1224261
35	442	1227674
36	451	1218642
37	465	1223635
38	479	1229565
39	494	1236997
40	517	1261832
41	544	1295401
42	566	1316170
43	586	1333193
44	605	1345907
45	614	1334186
46	629	1339286
47	641	1336507
48	651	1329276
49	661	1321713
50	673	1320327
51	682	1310939
52	694	1309480
53	707	1309698
54	719	1306645
55	728	1299285
56	742	1301974
57	760	1310268
58	775	1313936
59	788	1312626
60	796	1304465
61	810	1306526
62	823	1305629
63	833	1301751
64	844	1298531
65	856	1297271
66	867	1294498
67	877	1289561
68	890	1289776
69	903	1290374
70	915	1288729
71	923	1282389
72	938	1284541
73	950	1283665
74	958	1276639
75	972	1279114
76	985	1278992
77	995	1275254
78	1006	1273214
79	1019	1272953
80	1028	1268293
81	1040	1267934
82	1052	1267318
83	1065	1267401
84	1073	1261927
85	1086	1262409
86	1099	1262923
87	1111	1262172
88	1121	1259196
89	1135	1260775
90	1148	1261025
91	1158	1257826
92	1169	1256795
93	1180	1254615
94	1188	1249651
95	1203	1252204
96	1219	1255950
97	1233	1257409
98	1246	1257961
99	1256	1254806
100	1275	1261641
101	1283	1257063
102	1292	1253376
103	1307	1255462
104	1314	1250823
105	1327	1250755
106	1340	1251533
107	1348	1247432
108	1362	1248780
109	1373	1247711
110	1382	1243821
111	1396	1245354
112	1407	1244424
113	1416	1241461
114	1429	1241975
115	1442	1242419
116	1452	1239765
117	1463	1239161
118	1477	1240013
119	1489	1240165
120	1503	1240826
121	1511	1237594
122	1525	1238947
123	1538	1239104
124	1547	1236808
125	1560	1237261
126	1573	1237203
127	1582	1234437
128	1594	1234066
129	1606	1233856
130	1618	1234023
131	1631	1234031
132	1639	1230770
133	1652	1231549
134	1664	1231642
135	1679	1232913
136	1690	1232025
137	1702	1232270
138	1713	1231068
139	1723	1229014
140	1735	1229389
141	1750	1230789
142	1763	1231182
143	1770	1228085
144	1785	1229297
145	1796	1228931
146	1805	1226530
147	1819	1227552
148	1831	1227513
149	1841	1225655
150	1852	1225104
151	1865	1225142
152	1873	1222433
153	1884	1221867
154	1897	1222041
155	1909	1222311
156	1918	1219738
157	1930	1220191
158	1945	1221373
159	1957	1221440
160	1966	1219764
161	1981	1220995
162	1993	1221047
163	2004	1219973
164	2014	1218670
165	2026	1218784
166	2037	1217816
167	2048	1217010
168	2059	1216669
169	2069	1215269
170	2079	1214253
171	2091	1213894
172	2102	1213186
173	2112	1212015
174	2129	1214885
175	2143	1215658
176	2156	1215972
177	2166	1214949
178	2178	1214922
179	2191	1215180
180	2204	1215678
181	2217	1216306
182	2225	1213865
183	2238	1214598
184	2251	1214956
185	2260	1212849
186	2274	1213888
187	2287	1214387
188	2298	1214057
189	2309	1212999
190	2321	1212972
191	2333	1213145
192	2347	1213807
193	2355	1211681
194	2368	1212055
195	2381	1212798
196	2389	1210661
197	2402	1211197
198	2416	1211692
199	2424	1209807
200	2436	1209928
201	2448	1209679
202	2456	1207736
203	2469	1208108
204	2482	1208324
205	2492	1207666
206	2504	1207393
207	2515	1206947
208	2527	1206815
209	2539	1206917
210	2547	1204609
211	2559	1204922
212	2567	1203047
213	2587	1206364
214	2598	1205981
215	2610	1206068
216	2620	1205020
217	2632	1204845
218	2645	1205261
219	2652	1203146
220	2665	1203273
221	2677	1203408
222	2689	1203461
223	2704	1204674
224	2712	1202857
225	2726	1203725
226	2739	1204269
227	2750	1203467
228	2762	1203371
229	2773	1203061
230	2782	1201584
231	2794	1201743
232	2806	1201877
233	2818	1201529
234	2827	1200549
235	2840	1200657
236	2853	1200994
237	2865	1200981
238	2874	1199664
239	2887	1200187
240	2900	1200540
241	2908	1198808
242	2923	1200173
243	2934	1199912
244	2946	1199684
245	2956	1198847
246	2972	1200605
247	2985	1201025
248	2998	1201355
249	3007	1199833
250	3020	1200326
251	3032	1200374
252	3043	1199734
253	3053	1199258
254	3066	1199601
255	3077	1198904
256	3087	1198220
257	3100	1198571
258	3111	1198218
259	3120	1197036
260	3133	1197594
261	3147	1198366
262	3160	1198641
263	3168	1197196
264	3182	1197876
265	3196	1198605
266	3207	1198095
267	3218	1197718
268	3236	1200027
269	3249	1200180
270	3262	1200755
271	3276	1201141
272	3283	1199629
273	3295	1199407
274	3307	1199510
275	3316	1198238
276	3328	1198167
277	3342	1199011
278	3353	1198584
279	3361	1197188
280	3374	1197600
281	3391	1199399
282	3407	1200695
283	3420	1200882
284	3436	1202474
285	3446	1201543
286	3458	1201665
287	3471	1202042
288	3481	1201050
289	3490	1199986
290	3502	1200268
291	3516	1200641
292	3525	1199883
293	3539	1200326
294	3551	1200206
295	3562	1199995
296	3573	1199745
297	3585	1199598
298	3596	1199188
299	3607	1198773
300	3619	1198837
301	3627	1197511
